Simulations begin: 2025-02-03 01:34:38.612400
----- Starting simulation [systematic-constant] : 0 @ 2025-02-03 01:34:38.612481-----
Start coverage level: 0.6
Start exploration level: 0.764

systematic iteration: 1 | coverage level: 0.6 | exploration_level: 0.7674524000000682

systematic iteration: 2 | coverage level: 0.6 | exploration_level: 0.7724770999999603

systematic iteration: 3 | coverage level: 0.6 | exploration_level: 0.7746455226859492

systematic iteration: 4 | coverage level: 0.6 | exploration_level: 0.7772816006273154

systematic iteration: 5 | coverage level: 0.6666666666666666 | exploration_level: 0.7782046143100053

systematic iteration: 6 | coverage level: 0.7 | exploration_level: 0.7819199299094447

systematic iteration: 7 | coverage level: 0.6666666666666666 | exploration_level: 0.7832020522289478

systematic iteration: 8 | coverage level: 0.6666666666666666 | exploration_level: 0.7860856355346917

systematic iteration: 9 | coverage level: 0.6333333333333333 | exploration_level: 0.7877679588822902

systematic iteration: 10 | coverage level: 0.6333333333333333 | exploration_level: 0.7906727500419565

systematic iteration: 11 | coverage level: 0.6333333333333333 | exploration_level: 0.7913969115675556

systematic iteration: 12 | coverage level: 0.6666666666666666 | exploration_level: 0.7926863960113828

systematic iteration: 13 | coverage level: 0.6666666666666666 | exploration_level: 0.7927943234395398

systematic iteration: 14 | coverage level: 0.7 | exploration_level: 0.7937115353580884

systematic iteration: 15 | coverage level: 0.7 | exploration_level: 0.7937537503722079

systematic iteration: 16 | coverage level: 0.7 | exploration_level: 0.794377482500704

systematic iteration: 17 | coverage level: 0.7 | exploration_level: 0.7950713354072374

systematic iteration: 18 | coverage level: 0.7 | exploration_level: 0.7964042631686004

systematic iteration: 19 | coverage level: 0.7 | exploration_level: 0.7972903365691246

systematic iteration: 20 | coverage level: 0.7 | exploration_level: 0.7974514317248208

systematic iteration: 21 | coverage level: 0.7 | exploration_level: 0.7983018192828655

systematic iteration: 22 | coverage level: 0.7 | exploration_level: 0.800763583216579

